"reviewerID","asin","reviewerName","helpful__001","helpful__002","reviewText","overall","summary","unixReviewTime","reviewTime"
"A7S2B0I67WNWB","0594481813","AllyMG","2","2","This item is just as was described in the original description, works without any issues to be seen. Good product","4.0","As expected","1397606400","04 16, 2014"
"A3HICVLF4PFFMN","0594481813","Amazon Customer","0","0","bought for a spare for my 9&#34; Nook HD and it fit perfectly.  Very satisfied with the price much less than on the BN site","5.0","great fit","1399248000","05 5, 2014"
"ANSKSPEEAKY7S","0594481813","Gena","1","1","My son crewed my HD charger cord so I needed another one, this is exactly like the one my son destroyed.","5.0","Works Great","1372032000","06 24, 2013"
"A2QBZA4S1ROX9Q","0594481813","Jake","0","1","This is a good beefy 2 amp charger, but it covers two outlets on a power strip. It's ok in a regular wall outlet. The best thing is it uses a standard USB connector so it can charge more than just a Nook (I have a Kindle Fire HD+).","3.0","It Works","1369440000","05 25, 2013"
"ANY6JUFM0GH8U","0594481813","J. Clement","2","2","I lost my B&N original cable.  I looked around for an new one.  I tried  a different, cheaper model but it didn't fit my device properly so back to the drawing board.  I ordered this one.  I am satisfied.  It works exactly as expected and fits perfectly.  I would recommend this product to anyone looking for a spare or in lieu of the original usb cable adapter.","5.0","Great replacement for original power cable","1394323200","03 9, 2014"
"AT09WGFUM934H","0594481813","John","0","0","It does 2A and charges a DEAD Nook in a few hours. It does so with a LOT of heat, compared to most wall worts. I have a dual charger where 1 port is 2.1A and the other is 1A for total output of 3.1A that doesn't run as hot as this. And i use that to power a raspberry pi to avoid needing a powered hubIt does the job adequately as it's designed to. Just hot. I would always unplug it if not using (even though it cools off) because of the amount of heat made. The nook hd+ runs hot too right where you hold it on the left side in portrait, but not so much when charging. I guess it's better to have it at the plug.","3.0","This is the oem charger you get with the nook hd+","1377907200","08 31, 2013"
"AGAKHE014LQFU","0594481813","Nicodimus","3","5","Go to Target or Barnes and Noble instead, and pay $25 (which is still a huge markup, considering they make the thing for 50 cents.) This is the worst option if you need one of these. It's price gouging, pure and simple.","3.0","$45 for a power cord? Good luck with that.","1379462400","09 18, 2013"
"A1S6B5QFWGVL5U","0594481813","T. Vaughan","2","2","Works well, a little pricey I think for a charging cable, but then again, not losing the original would be a lot cheaper than any replacement","4.0","Good replacement","1372291200","06 27, 2013"
"A20XXTXWF2TCPY","0972683275","","0","0","This is a great buy, compared to a $60 or more a retail store.","5.0","Excelant mount for Tv. Would buy more if I needed them.","1405123200","07 12, 2014"
"A2IDCSC6NVONIZ","0972683275","2Cents!","1","1","This mount is just what I needed.  It is strong and sturdy.  It folds almost flat to enable the television to sit square and flat against the wall if desired and extends and rotates for angle turns.  A perfect fit as long as you match the correct visa pattern for your television.","5.0","Perfect","1367280000","04 30, 2013"
"A1EDI0X3GI1SK7","0972683275","AGW","0","1","Great deal, easy to mount and it appears to be fairly sturdy. I mounted a 32 in tv on it and it works great.","5.0","32 In TV Mount","1323993600","12 16, 2011"
"A3BMUBUC1N77U8","0972683275","ahoffoss","0","0","This mount works really well once you get it up and going.  Only problem is just the arms are a little goofy getting them all in the right spot.  But that's really not too big an issue considering all the different TV's and their mounting hole locations.","4.0","Pretty simple, but definitely good!","1385164800","11 23, 2013"
"AVRFGGCCCR6QU","0972683275","Alberto Dieguez ""premiere purchaser of random...","3","4","This wall mount does everything it's supposed to do.  The piece that attaches to the wall isn't overly long, which made it easier to mount the arm in the tight space I needed to mount it in.  The only issues I saw was that the joints were VERY tight initially and as we moved the arm around to install it, the joints loosened up to the point where I had to take the included allen wrench and tighten them up again.","4.0","Fairly good wall mount","1283126400","08 30, 2010"
"A3UOSOCRKS3WIH","0972683275","Allen Coberly","0","0","for the price you just cant beat this item. I bought it for a house I was selling so I could hang some tv and it worked great. Good quality for the price.","5.0","Cant Beat it!","1368316800","05 12, 2013"
"A371ZZ95ZQEIZV","0972683275","Amazon Customer","0","0","I received the mount, which was well packaged for shipping.  The installation instructions were Moderately clear.  No issues following them, they were just a little disjointed depending on the wall surface you were installing on.My shipment had a mis-cut piece, and was missing 4 screws.  I contacted the Manufacturer, and they shipped me a replacement part and screws the very next day (Shipped out of Texas, so normal mailing times applied)I like how the Mount fits together, and I easily mounted my 60lbs TV by myself.  The part that attaches to the TV has a hook that will hold the TV on the Arm till you bolt it on.It's very adjustable, and pushes almost flush with the wall.I'm very happy, but took one star for the miscut piece.","4.0","Sturdy Mount, good customer service","1389052800","01 7, 2014"
"A7060R14RJF3I","0972683275","Amazon Customer","0","0","Took a bit of work, but used this to fit an older vizio 32&#34; monitor to the wall to use as a compute monitor. Stable and like the ability to move the tv to different angles. The vizio was older and did not have the standard holes, this product fit and holds the tv very stable.","4.0","Works","1368835200","05 18, 2013"
"A26QCCO0101CO1","0972683275","Amazon Customer ""jkhinch""","7","9","I used this for my 47&#34; Samsung. Its fit/feel is great. Easy installation. Appears strong; although I personally spent way too much on the tv to risk leaving it fully outstretched with too little lag bolts for a long time! It is very convenient to be able to move it away from the wall however and I would feel very comfortable tilt or swiveling if needed. The movement is fluid and easily adjustable.I am very pleased with my purchase.","5.0","Just what I'd hoped","1361404800","02 21, 2013"
"APBF796U7GUTV","0972683275","Amazon Customer ""steve-mc2""","1","1","This item serves its purpose as well as any other mount.  Its most appealing attribute is its large range of motion.  I am using this to corner-mount a 32"" TV and it works perfectly to hide the mount, receptacles, and cables behind the TV.  Very easy installation as well.","5.0","Nice Mount","1331942400","03 17, 2012"
"A2HLNXOYLMERTC","0972683275","anthony smith","0","0","I love this mount.  This is the 4th one I've bought and it works great every time.  excellent seller and excellent product","5.0","Buy this mount its the best","1397606400","04 16, 2014"
"A3CCITVF0WL6KE","0972683275","A. Ramos","0","0","I am very glad for buying it.  It is heavy duty and good quality for the price.  It was very easy to install.","5.0","VideoSecu Swing Arm TV Wall Mount","1357689600","01 9, 2013"
"AYQNWE3AX4H08","0972683275","arl6969 ""arl6969""","0","0","this holds up my 55inch sony with ease. make sure u mount this with ur own lag screws into the heart of the 2x4 ur mounting to and u won't have any problem--u may have to make a modificatoin or two but use ur brain and figure it out-- it'll be there till the house falls!!!3inch lag screws is the way to go don't be cheap go buy em.---how much did u pay for the tv????","5.0","work great","1374105600","07 18, 2013"
"A3P24ZSF9IQRJJ","0972683275","average customer","0","0","Nice quality still works great... very happy with this purchase... need to add 10 more words.. so what can I say its a wall mount that I haven't had any problems with","5.0","great","1402617600","06 13, 2014"
"A1JI3XL5ME8CWM","0972683275","Beakeagles","0","0","Great bracket for small TVs.  I used it on a 19"" LCD and it worked well.  The large mounting plate may block some connections on some TVs.  Installed easily and could be adjusted to make level.  The links were very tight and need to be loosened for initial installation.  When the TV is in the desired position, you can tighten them up.","4.0","Great product for money","1336435200","05 8, 2012"
"AQBLWW13U66XD","0972683275","Benjamin Belanger ""v dbl u""","0","0","I bought this for a 22"" TV for my son. I mounted this onto the corner stud and it works great! I love the angles it can achieve. Fees Very sturdy and well built. It works perfect for my application. Very happy with this purchase!","5.0","High Quality/Low Price","1375574400","08 4, 2013"
"AUKEU9CW56TT4","0972683275","B. Kilpatrick","0","0","I am using this mount for a 39 inch Vizio TV and it has been great. The installation process was quick and easy and we LOVE the variety of angles that you can get from this mount. We have it on a side wall in our bedroom and we can pull the tv out and move it completely perpendicular to the wall on which it is mounted if we want to. (We don't usually move it quite perpendicular, but it works to do this.)My only complaint is that the joints are a little on the stiff side. It takes quite a bit of force to move the TV from one position to another. It's a little hard for my wife to do-- especially with the TV mounted about 6ft up on the wall. It may be possible to loosen these pivot points, but I have not tried. I'm a little nervous about making it less stable if I do.Overall, it's a great mount. Highly recommended.","5.0","Easy to Mount; Rock-solid","1396828800","04 7, 2014"
"A23A7OH3AM0PDA","0972683275","B. Onat","0","0","I installed this for my sister who had a 22"" Philips LCD. Nice sturdy mount, with all of the nuts, bolts, screws included. Only problem was that since my tv was so small, and I was using the most inner mounting hols on the mount, the outside edges of the mount covered both the cable connection, and the power cable connection. Instead of returning, (then paying $70 from a local store) I simply went to a hardware store, got a 1 & 1/2 inch boring tool that attaches to a hand drill, and drilled holes into the mount. It was pretty easy, but a bit messy. It is not visible after mounting the TV, so who cares?? It is one thing to consider before buying this, there may be another mount that does not cover your TV connections. Otherwise swivels well, does not sag, good value.","4.0","Nice Mount, beware of cable connections","1296086400","01 27, 2011"
"A12AU3CNAWYO5D","0972683275","bonbon","0","0","Didn't think it would work as well as it has,because the metal was a lighter guage thanwe expected, but it hardly deflected from theweight of the TV, even extended straight out.","5.0","Works like a charm so far","1356220800","12 23, 2012"
"A5O0P0JV6PLU3","0972683275","bone","0","0","very heavy duty construction, extends, tilts perfectlya steal at this pricewill be happy to buy another 1 or 2 if needed","5.0","deal!","1353801600","11 25, 2012"
"A27X48PMUGK6U4","0972683275","Boyd","0","0","Well constructed wall mount for TV sets up to 37 inches. The mounting  plate has numerous holes for varius sets. Plenty of extra hardware provided. Price was about 1/8th of what it would cost on the open market. I recommend it highly.","5.0","HD TV wall mount","1290211200","11 20, 2010"
"A2KQDWZZUBBNOJ","0972683275","Bradley Pool","0","0","I used it to mount a 32"" LCD TV to the wall... about 28LBS.  I installed it in less than 1/2 hour and am very happy with the results.PROS:-Comes with all of the hardware you'll need-Comes with some extra hardware of which I have NO IDEA what it is there for.  I suspect it's a 'universal' hardware pack for several models and not all hardware is used for all models, but it's nice to have a little 'extra' (which is always better than not enough!)-The included Level is nice... well it's cheap but it works!-The instructions did a decent enough job of explaining how to install the unit.CONS:-Metal is just a tad on the flimsy side.  I have no problems trusting it with my &lt;30lb television but if I were to mount something closer to its maximum rated weight of 55lbs, I think I would be quite a bit nervous about it holding up.-The holes in the base were just a little bit too wide for my wall stud.  I think the particular stud I was installing it onto was a typical 2X4 and if centered, the left and right side holes were just a little too far to grab both sides of the stud.  I had to reposition it so that the center holes were aligned to the left side of the stud, and that the right side holes were aligned to the right side of the stud.  As a result, I was only able to install four of the six bolts to hold it in place, but I don't feel it will be an issue with my 28LB television.  If your house uses wider studs this probably wouldn't even be an issue.-The metal does sag just a little bit with the weight of the television on it.  I mounted the base just a little bit ""off level"" to help compensate for this, and had no problems getting the television level using the adjustments available to me.CONCLUSION:  All in all It's not a bad unit.. ESPECIALLY for the price.  Yes I would have liked to see a sturdier unit, but when you take into account the &lt;$30 price tag, it's an excellent bargain.  I don't think I'll have any issue with a static mounting of my TV in the corner of the bedroom *BUT* if you are considering installing this unit for a television that will see a lot of traffic, constant repositioning, etc... then you might want to spend more money on something sturdier.","4.0","It works!","1306800000","05 31, 2011"
"A27XULAA9X5ZGQ","0972683275","Branon Young","0","0","This mount is excellent. It is very well built and sturdy. I used it to mount a 32"" TV and it fit the need perfectly. The price was also very good and much, much cheaper than what an inferior mount would cost in a retail store. I would definitely recommend.","5.0","Very Pleased","1329436800","02 17, 2012"
"A3IIGCFLKVFW8M","0972683275","Brian M. Kaplan ""Brian M. Kaplan""","0","0","Works great and is so much cheaper than the more expensive versions at the Big box stores. It is super easy to install yourself too. You just need a drill and a ratchet set to get it into the stud (oh yea a stud finder too).","5.0","Holds a lot","1393459200","02 27, 2014"
"A20VSTDILG9K7H","0972683275","Busy Momma","0","0","We bought this for the tv in our gym as it gets moved around a bit.  It's definitely sturdy and works well.  Our tv in there is 24&#34;,","4.0","Works well","1402617600","06 13, 2014"
"A3VKO21KYDJQ2W","0972683275","C. Aaland","0","0","For the price, you can't beat it. Mine didn't come with any of the screws for the TV, but luckily I had some leftover from another mount so I didn't want to bother returning it. Also, not sure what they mean by tilt, but mine doesn't. The arm extends in and out as said, tv swivels left to right, but does not tilt up and down as was my expectation. Otherwise, can't beat it for the price as in Target/Best Buy etc., these are going for $60+.","3.0","Great for the price.","1310428800","07 12, 2011"
"A1MSO6LERG39PC","0972683275","cajunjake","1","1","Cannot beat this deal anywhere else on the web!  All other retailers are over-priced for what you are getting - a couple pieces of fabricated metal to hold a TV that articulates! This mount is reasonably priced.Pros:  Easy to install (helps to have a cordless driver to drill 6 pilot holes, and to drive in 6 lag screws. You also need to have a stud finder).- Well fabricated- Mount does everything advertised (i.e. articulates - you made need to loosen up some nuts)Con's: Really stretching here since this is a good deal: Instructions could use some help for the ""novice"" DIY'ersInstall tip:  It really helps if you have a second person assisting you for the final step of mounting the flat panel to the TV mountInstalled a 15.5 lbs, 26 Inch Flat Panel LCD (VESA 200mm X 100mm) to this mount. Mount works beautifully! I originally had the TV sitting a little high on a stand, but then the picture was not as good because of the upward viewing angle of the screen (inherent problem with cheaper LCD's - not being directly in front of a LCD screen) - this mount corrected this issue by allowing me to ""tilt down"" the screen.  I would strongly recommend this mount if you are in the market.","5.0","Outstanding Articulating Wall Mount!","1347494400","09 13, 2012"
"A20Q4FIBCAG2ZV","0972683275","cameron","0","0","This mount is easy to install and very sturdy and is very functional and very affordable for the price. A+","5.0","great product","1366848000","04 25, 2013"
"A1980MGZXSGJP","0972683275","Captain ""Captain America""","0","0","Works like a charm! Lies flat on the wall when I want it too and pulls out and swivels like a charm when I need it too!The instructions call for it to be mounted into a stud in the wall, however mine is mounted directly into the drywall using heavy duty anchors and it works perfect as well! This is a great product for an amazing price!","5.0","Great product for a great price!","1361059200","02 17, 2013"
"A1GLL5CJ1SFAMS","0972683275","Carolyn D ""Carolyn D""","0","0","Easey to put together and install. Used to mount a 37"" LED flat screen. Instuction say to mount the complete unit but if you mount the TV to the back plate on the ground first its a one person job. Well built product for being made in China.wish you could buy American made, better luck next time.","5.0","wall mount","1326326400","01 12, 2012"
"A2683OJ85CLWFA","0972683275","Castle","0","0","I hung this in my house with great ease and it held up my 8 year old son because I wasn't going to put the 55&#34; flat screen on it to find out that it failed. Fully extends out 2 feet. This was worth the money.","5.0","Booyah!","1360454400","02 10, 2013"
"A3M6S7Y1FNPOLD","0972683275","Charlie Troutman ""Charlie""","0","0","Wanted the monitor off of the desk, so we mounted on the wall.  I would have rather had a vertical adjustment as well, but for the price, this unit does the job.","3.0","for 25&#34; monitor, it worked well","1355097600","12 10, 2012"
"AOU1TM9UA1BZF","0972683275","chicago mom","0","0","very secure, we did have to use concrete bolts thought since we were putting it on an outside wall made of lath and plaster with concrete brick on the outside.  One of the best features is there is one piece that attaches to the tv and another that attaches to the wall.  the piece on the tv actually hooks onto the piece on the wall.  I am really happy with this purchase.","5.0","awesome","1388620800","01 2, 2014"
"A3S5643F4JNLQQ","0972683275","chitownrun","0","1","I live in a studio condo and I needed something to rotate to see from my bed and my couch on the other side of the main room. Once you figure out which instructions to use (several varieties are included to accommodate different scenarios and tvs), they are pretty thorough. Don't be afraid to tighten specific &#34;joints&#34; and loosen others to get it how you want it.Originally had bought a different one, and be careful of this, but it didn't didn't have near the amount of swing as this one does.","5.0","Just what I was needing.","1373587200","07 12, 2013"
"AJIA55AVU0CUS","0972683275","Chris C ""Chris C""","0","0","Holds the TV fine and the articulation is great.  We use it in a downstairs bedroom where we can move it to be seen from the bed or the treadmill.  Has cable mgmt as well.","4.0","For 22"" LCD","1364947200","04 3, 2013"
"A3C51ESBUD8QAJ","0972683275","chuckn","0","0","Another great buy from Amazon. The local stores wanted twice the money and the other mounts were cheaply made. this mount is made well and you get a free hdmi cable and level with it","4.0","videosecu articulating wall mount","1324598400","12 23, 2011"
"A3IC6OB22INS9","0972683275","C. Johansen","0","0","Just to know that the TV will sit off center of where the base is placed. Other than that it has held up and worked.","4.0","product worked as advertised.","1369353600","05 24, 2013"
"A3ISZ8KLXYYI7P","0972683275","C. Lackey ""Great Product""","0","0","This is the best mount I have ever found, especially for the price.Home Depot has a nearly identical mount for $90.This mount comes with every fastener you could need from Lags, Hollow Wall Anchors, Spacers, to varying lengths of Metric Fasteners to most if not all TVs.They mount easy and are sturdy; I have a 60&#34; LED TV on one without issue.I also have 32&#34;, 42&#34;, 46&#34;, and 50&#34; TVs on them; I have used these to mount every LED/LCD TV I or friends have mounted.","5.0","Best Mount Ever","1390348800","01 22, 2014"
"A3QH8VQDE7HZCR","0972683275","costaricachris","15","19","Quality was excellent. Instructions were clear. It was not clear about a tilt feature, but there was enough to level it when I finished. Be careful to get the wall bracket real vertical. (I was using it for a 23 inch computer screen so I really need it to be level for reading.) Everything I needed plus lots of extra hardware for different situations.","5.0","Real value for the money","1286236800","10 5, 2010"
"A6J8D9V5S9MBE","0972683275","Curtis G","0","0","In the process of turning our master bedroom into a fortress of solitude for my wife, we decided to mount ourPanasonic TC-L32X2 32-Inch 720p LCD HDTVon the wall, above the dresser, to save some space. (You can never have enough dresser space for displaying tchotchkes, amirite, fellas?) My wife wanted a fixed wall mount but I thought the viewing angle required some articulation. (In hindsight, fixed would have worked, too.) This unit was highly rated and the price was right. Sold.The installation was straightforward and fairly simple. The only point at which I needed some help was in balancing the TV while I attached it to the arm; otherwise it was all me. I think it looks great; my wife says it reminds her of being in the hospital. (Sorry, Honey.) When we mount thePanasonic VIERA TC-P42S30 42-Inch 1080p Plasma HDTVin the living room, I'll definitely use a flat mount.You could spend four times this much on an articulating TV mount, but I don't see why you would.","5.0","Simple and effective. Just the way I like it.","1306886400","06 1, 2011"
"A39Z4OU2C7ENWH","0972683275","Dave C","1","1","I gave this mount 3 stars.5 to start because out of the box, and mounted on the wall, I really liked it for my daughter's room. The ability to move her 26"" TV around so she can play in other areas of the room is a welcomed addition.I subtracted 1 star because of the tacky instructions and poor cable management for something that moves at maximum, about 2 feet away from the wall.1 more star fell off because now that the TV is mounted, the mount seems to sag, even though there are two huge lag bolts in a stud mounting it. That parts not the problem, the problem is where the tv mounts to the plate itself, it seems no matter how many washers you use, it just does not make full contact. Also if you move the TV to a new position the mounts seems to want to ""fall"" in that direction on its hinges. SO it must be releveled by yanking on it every time it moves.Otherwise, it works I guess. But for $50 I'd rather have a stationary mount that I never have to worry about. I would not set a tv larger than a 30"" or so on this. I just don't trust it.","3.0","Works, but I don't trust it","1328572800","02 7, 2012"
